week,AAPL
11/13/16,37
11/20/16,48
11/27/16,39
12/4/16,47
12/11/16,39
12/18/16,60
12/25/16,44
1/1/17,39
1/8/17,35
1/15/17,29
1/22/17,42
1/29/17,41
2/5/17,40
2/12/17,35
2/19/17,32
2/26/17,29
3/5/17,25
3/12/17,29
3/19/17,40
3/26/17,32
4/2/17,31
4/9/17,28
4/16/17,26
4/23/17,30
4/30/17,40
5/7/17,32
5/14/17,34
5/21/17,25
5/28/17,26
6/4/17,75
6/11/17,24
6/18/17,28
6/25/17,31
7/2/17,29
7/9/17,27
7/16/17,21
7/23/17,28
7/30/17,33
8/6/17,28
8/13/17,33
8/20/17,30
8/27/17,25
9/3/17,25
9/10/17,100
9/17/17,44
9/24/17,38
10/1/17,30
10/8/17,26
10/15/17,27
10/22/17,44
10/29/17,49
11/5/17,42
11/12/17,32
11/19/17,39
11/26/17,41
12/3/17,29
12/10/17,28
12/17/17,35
12/24/17,40
12/31/17,32
1/7/18,29
1/14/18,40
1/21/18,35
1/28/18,34
2/4/18,33
2/11/18,31
2/18/18,31
2/25/18,25
3/4/18,27
3/11/18,26
3/18/18,35
3/25/18,37
4/1/18,33
4/8/18,28
4/15/18,24
4/22/18,31
4/29/18,32
5/6/18,30
5/13/18,25
5/20/18,32
5/27/18,28
6/3/18,49
6/10/18,27
6/17/18,25
6/24/18,24
7/1/18,23
7/8/18,26
7/15/18,32
7/22/18,28
7/29/18,45
8/5/18,28
8/12/18,31
8/19/18,36
8/26/18,39
9/2/18,33
9/9/18,94
9/16/18,51
9/23/18,40
9/30/18,38
10/7/18,32
10/14/18,38
10/21/18,37
10/28/18,51
11/4/18,23
11/11/18,31
11/18/18,42
11/25/18,35
12/2/18,34
12/9/18,39
12/16/18,30
12/23/18,34
12/30/18,43
1/6/19,33
1/13/19,30
1/20/19,34
1/27/19,35
2/3/19,30
2/10/19,28
2/17/19,37
2/24/19,25
3/3/19,28
3/10/19,25
3/17/19,42
3/24/19,81
3/31/19,37
4/7/19,27
4/14/19,29
4/21/19,25
4/28/19,26
5/5/19,26
5/12/19,30
5/19/19,32
5/26/19,25
6/2/19,44
6/9/19,25
6/16/19,29
6/23/19,32
6/30/19,23
7/7/19,26
7/14/19,25
7/21/19,33
7/28/19,28
8/4/19,26
8/11/19,28
8/18/19,32
8/25/19,32
9/1/19,30
9/8/19,84
9/15/19,41
9/22/19,35
9/29/19,38
10/6/19,37
10/13/19,30
10/20/19,32
10/27/19,49
11/3/19,33
10/27/19,49
11/3/19,33