week,GOOGL
11/13/16,82
11/20/16,73
11/27/16,71
12/4/16,82
12/11/16,74
12/18/16,72
12/25/16,65
1/1/17,64
1/8/17,68
1/15/17,71
1/22/17,82
1/29/17,76
2/5/17,71
2/12/17,72
2/19/17,74
2/26/17,73
3/5/17,71
3/12/17,62
3/19/17,72
3/26/17,83
4/2/17,77
4/9/17,67
4/16/17,72
4/23/17,72
4/30/17,83
5/7/17,59
5/14/17,76
5/21/17,68
5/28/17,70
6/4/17,66
6/11/17,73
6/18/17,63
6/25/17,68
7/2/17,67
7/9/17,64
7/16/17,66
7/23/17,63
7/30/17,59
8/6/17,100
8/13/17,63
8/20/17,64
8/27/17,57
9/3/17,59
9/10/17,64
9/17/17,73
9/24/17,75
10/1/17,80
10/8/17,59
10/15/17,75
10/22/17,66
10/29/17,68
11/5/17,65
11/12/17,67
11/19/17,60
11/26/17,65
12/3/17,66
12/10/17,69
12/17/17,67
12/24/17,70
12/31/17,58
1/7/18,58
1/14/18,69
1/21/18,67
1/28/18,62
2/4/18,63
2/11/18,65
2/18/18,63
2/25/18,65
3/4/18,67
3/11/18,58
3/18/18,68
3/25/18,66
4/1/18,70
4/8/18,57
4/15/18,69
4/22/18,61
4/29/18,60
5/6/18,68
5/13/18,66
5/20/18,65
5/27/18,57
6/3/18,58
6/10/18,56
6/17/18,49
6/24/18,58
7/1/18,47
7/8/18,49
7/15/18,60
7/22/18,60
7/29/18,51
8/5/18,58
8/12/18,58
8/19/18,52
8/26/18,64
9/2/18,55
9/9/18,59
9/16/18,53
9/23/18,60
9/30/18,56
10/7/18,63
10/14/18,57
10/21/18,65
10/28/18,63
11/4/18,57
11/11/18,60
11/18/18,53
11/25/18,54
12/2/18,53
12/9/18,67
12/16/18,58
12/23/18,62
12/30/18,45
1/6/19,54
1/13/19,49
1/20/19,60
1/27/19,53
2/3/19,55
2/10/19,58
2/17/19,53
2/24/19,54
3/3/19,53
3/10/19,56
3/17/19,61
3/24/19,56
3/31/19,56
4/7/19,58
4/14/19,58
4/21/19,62
4/28/19,56
5/5/19,63
5/12/19,55
5/19/19,55
5/26/19,47
6/2/19,70
6/9/19,49
6/16/19,57
6/23/19,61
6/30/19,52
7/7/19,51
7/14/19,59
7/21/19,53
7/28/19,49
8/4/19,55
8/11/19,68
8/18/19,67
8/25/19,60
9/1/19,56
9/8/19,60
9/15/19,64
9/22/19,74
9/29/19,61
10/6/19,62
10/13/19,65
10/20/19,69
10/27/19,60
11/3/19,60