week,JNJ
11/13/16,4
11/20/16,8
11/27/16,14
12/4/16,10
12/11/16,10
12/18/16,12
12/25/16,7
1/1/17,4
1/8/17,10
1/15/17,5
1/22/17,45
1/29/17,13
2/5/17,11
2/12/17,7
2/19/17,7
2/26/17,11
3/5/17,11
3/12/17,11
3/19/17,15
3/26/17,17
4/2/17,9
4/9/17,8
4/16/17,10
4/23/17,11
4/30/17,23
5/7/17,12
5/14/17,13
5/21/17,7
5/28/17,9
6/4/17,9
6/11/17,13
6/18/17,7
6/25/17,10
7/2/17,6
7/9/17,5
7/16/17,11
7/23/17,16
7/30/17,5
8/6/17,11
8/13/17,8
8/20/17,25
8/27/17,7
9/3/17,4
9/10/17,5
9/17/17,19
9/24/17,10
10/1/17,12
10/8/17,12
10/15/17,15
10/22/17,13
10/29/17,12
11/5/17,5
11/12/17,15
11/19/17,6
11/26/17,7
12/3/17,12
12/10/17,10
12/17/17,11
12/24/17,13
12/31/17,8
1/7/18,7
1/14/18,19
1/21/18,26
1/28/18,15
2/4/18,17
2/11/18,20
2/18/18,32
2/25/18,19
3/4/18,17
3/11/18,13
3/18/18,16
3/25/18,14
4/1/18,20
4/8/18,8
4/15/18,33
4/22/18,17
4/29/18,26
5/6/18,11
5/13/18,17
5/20/18,25
5/27/18,19
6/3/18,18
6/10/18,12
6/17/18,9
6/24/18,6
7/1/18,20
7/8/18,34
7/15/18,22
7/22/18,6
7/29/18,10
8/5/18,16
8/12/18,16
8/19/18,0
8/26/18,6
9/2/18,12
9/9/18,22
9/16/18,9
9/23/18,15
9/30/18,18
10/7/18,29
10/14/18,24
10/21/18,18
10/28/18,6
11/4/18,5
11/11/18,18
11/18/18,7
11/25/18,6
12/2/18,12
12/9/18,47
12/16/18,41
12/23/18,16
12/30/18,11
1/6/19,9
1/13/19,21
1/20/19,28
1/27/19,21
2/3/19,15
2/10/19,18
2/17/19,18
2/24/19,18
3/3/19,16
3/10/19,18
3/17/19,22
3/24/19,13
3/31/19,26
4/7/19,7
4/14/19,23
4/21/19,14
4/28/19,16
5/5/19,17
5/12/19,24
5/19/19,28
5/26/19,17
6/2/19,20
6/9/19,26
6/16/19,17
6/23/19,24
6/30/19,13
7/7/19,25
7/14/19,13
7/21/19,47
7/28/19,27
8/4/19,23
8/11/19,17
8/18/19,23
8/25/19,100
9/1/19,21
9/8/19,31
9/15/19,18
9/22/19,18
9/29/19,9
10/6/19,28
10/13/19,22
10/20/19,33
10/27/19,21
11/3/19,21