week,MA
11/13/16,58
11/20/16,28
11/27/16,28
12/4/16,40
12/11/16,43
12/18/16,13
12/25/16,15
1/1/17,22
1/8/17,21
1/15/17,31
1/22/17,37
1/29/17,52
2/5/17,24
2/12/17,11
2/19/17,40
2/26/17,24
3/5/17,24
3/12/17,29
3/19/17,29
3/26/17,17
4/2/17,17
4/9/17,26
4/16/17,34
4/23/17,39
4/30/17,17
5/7/17,0
5/14/17,43
5/21/17,15
5/28/17,63
6/4/17,15
6/11/17,15
6/18/17,15
6/25/17,22
7/2/17,19
7/9/17,25
7/16/17,18
7/23/17,42
7/30/17,53
8/6/17,18
8/13/17,26
8/20/17,25
8/27/17,26
9/3/17,37
9/10/17,25
9/17/17,33
9/24/17,16
10/1/17,24
10/8/17,24
10/15/17,34
10/22/17,35
10/29/17,38
11/5/17,16
11/12/17,61
11/19/17,38
11/26/17,33
12/3/17,31
12/10/17,17
12/17/17,72
12/24/17,32
12/31/17,18
1/7/18,16
1/14/18,49
1/21/18,49
1/28/18,50
2/4/18,24
2/11/18,17
2/18/18,54
2/25/18,36
3/4/18,37
3/11/18,27
3/18/18,30
3/25/18,29
4/1/18,47
4/8/18,55
4/15/18,36
4/22/18,28
4/29/18,58
5/6/18,70
5/13/18,19
5/20/18,42
5/27/18,32
6/3/18,40
6/10/18,20
6/17/18,29
6/24/18,35
7/1/18,44
7/8/18,63
7/15/18,21
7/22/18,35
7/29/18,33
8/5/18,28
8/12/18,51
8/19/18,54
8/26/18,32
9/2/18,40
9/9/18,64
9/16/18,29
9/23/18,78
9/30/18,49
10/7/18,39
10/14/18,30
10/21/18,30
10/28/18,31
11/4/18,29
11/11/18,31
11/18/18,24
11/25/18,20
12/2/18,70
12/9/18,53
12/16/18,24
12/23/18,55
12/30/18,32
1/6/19,31
1/13/19,41
1/20/19,41
1/27/19,34
2/3/19,0
2/10/19,41
2/17/19,27
2/24/19,33
3/3/19,35
3/10/19,20
3/17/19,64
3/24/19,44
3/31/19,43
4/7/19,67
4/14/19,66
4/21/19,23
4/28/19,59
5/5/19,34
5/12/19,38
5/19/19,23
5/26/19,46
6/2/19,37
6/9/19,33
6/16/19,67
6/23/19,45
6/30/19,36
7/7/19,21
7/14/19,52
7/21/19,45
7/28/19,23
8/4/19,50
8/11/19,22
8/18/19,100
8/25/19,52
9/1/19,47
9/8/19,42
9/15/19,41
9/22/19,71
9/29/19,41
10/6/19,52
10/13/19,49
10/20/19,55
10/27/19,20
11/3/19,20