week,PG
11/13/16,23
11/20/16,40
11/27/16,19
12/4/16,10
12/11/16,20
12/18/16,18
12/25/16,11
1/1/17,20
1/8/17,37
1/15/17,41
1/22/17,33
1/29/17,20
2/5/17,32
2/12/17,82
2/19/17,32
2/26/17,31
3/5/17,27
3/12/17,14
3/19/17,47
3/26/17,19
4/2/17,50
4/9/17,24
4/16/17,43
4/23/17,53
4/30/17,29
5/7/17,31
5/14/17,32
5/21/17,58
5/28/17,44
6/4/17,51
6/11/17,76
6/18/17,28
6/25/17,47
7/2/17,28
7/9/17,21
7/16/17,41
7/23/17,40
7/30/17,79
8/6/17,54
8/13/17,58
8/20/17,56
8/27/17,0
9/3/17,50
9/10/17,26
9/17/17,43
9/24/17,55
10/1/17,77
10/8/17,95
10/15/17,25
10/22/17,45
10/29/17,36
11/5/17,30
11/12/17,56
11/19/17,43
11/26/17,46
12/3/17,52
12/10/17,19
12/17/17,71
12/24/17,24
12/31/17,58
1/7/18,42
1/14/18,61
1/21/18,46
1/28/18,28
2/4/18,48
2/11/18,46
2/18/18,34
2/25/18,40
3/4/18,48
3/11/18,69
3/18/18,40
3/25/18,21
4/1/18,53
4/8/18,41
4/15/18,88
4/22/18,31
4/29/18,36
5/6/18,50
5/13/18,43
5/20/18,47
5/27/18,48
6/3/18,53
6/10/18,34
6/17/18,44
6/24/18,39
7/1/18,25
7/8/18,35
7/15/18,56
7/22/18,39
7/29/18,72
8/5/18,24
8/12/18,49
8/19/18,32
8/26/18,47
9/2/18,34
9/9/18,0
9/16/18,44
9/23/18,37
9/30/18,22
10/7/18,22
10/14/18,46
10/21/18,22
10/28/18,38
11/4/18,20
11/11/18,23
11/18/18,27
11/25/18,30
12/2/18,34
12/9/18,47
12/16/18,52
12/23/18,62
12/30/18,53
1/6/19,69
1/13/19,92
1/20/19,84
1/27/19,23
2/3/19,75
2/10/19,34
2/17/19,0
2/24/19,44
3/3/19,47
3/10/19,30
3/17/19,24
3/24/19,42
3/31/19,66
4/7/19,75
4/14/19,73
4/21/19,100
4/28/19,50
5/5/19,25
5/12/19,60
5/19/19,39
5/26/19,39
6/2/19,25
6/9/19,50
6/16/19,99
6/23/19,25
6/30/19,48
7/7/19,35
7/14/19,92
7/21/19,77
7/28/19,67
8/4/19,32
8/11/19,25
8/18/19,25
8/25/19,47
9/1/19,22
9/8/19,24
9/15/19,68
9/22/19,30
9/29/19,35
10/6/19,70
10/13/19,47
10/20/19,61
10/27/19,57
11/3/19,61