week,UNH
11/13/16,0
11/20/16,10
11/27/16,23
12/4/16,19
12/11/16,19
12/18/16,11
12/25/16,11
1/1/17,10
1/8/17,42
1/15/17,28
1/22/17,27
1/29/17,26
2/5/17,27
2/12/17,23
2/19/17,13
2/26/17,13
3/5/17,55
3/12/17,41
3/19/17,14
3/26/17,22
4/2/17,28
4/9/17,14
4/16/17,36
4/23/17,0
4/30/17,29
5/7/17,38
5/14/17,64
5/21/17,33
5/28/17,36
6/4/17,17
6/11/17,0
6/18/17,33
6/25/17,93
7/2/17,52
7/9/17,31
7/16/17,41
7/23/17,50
7/30/17,20
8/6/17,20
8/13/17,19
8/20/17,28
8/27/17,26
9/3/17,17
9/10/17,35
9/17/17,18
9/24/17,27
10/1/17,27
10/8/17,27
10/15/17,57
10/22/17,39
10/29/17,18
11/5/17,27
11/12/17,19
11/19/17,43
11/26/17,46
12/3/17,18
12/10/17,28
12/17/17,40
12/24/17,24
12/31/17,49
1/7/18,27
1/14/18,18
1/21/18,18
1/28/18,38
2/4/18,36
2/11/18,39
2/18/18,20
2/25/18,20
3/4/18,41
3/11/18,79
3/18/18,20
3/25/18,22
4/1/18,84
4/8/18,21
4/15/18,41
4/22/18,51
4/29/18,32
5/6/18,53
5/13/18,65
5/20/18,23
5/27/18,24
6/3/18,34
6/10/18,34
6/17/18,22
6/24/18,35
7/1/18,49
7/8/18,58
7/15/18,60
7/22/18,71
7/29/18,36
8/5/18,24
8/12/18,24
8/19/18,0
8/26/18,24
9/2/18,33
9/9/18,21
9/16/18,44
9/23/18,33
9/30/18,22
10/7/18,0
10/14/18,23
10/21/18,22
10/28/18,46
11/4/18,49
11/11/18,45
11/18/18,27
11/25/18,68
12/2/18,22
12/9/18,47
12/16/18,26
12/23/18,62
12/30/18,52
1/6/19,23
1/13/19,68
1/20/19,34
1/27/19,56
2/3/19,67
2/10/19,23
2/17/19,45
2/24/19,55
3/3/19,94
3/10/19,23
3/17/19,48
3/24/19,100
3/31/19,0
4/7/19,37
4/14/19,61
4/21/19,37
4/28/19,25
5/5/19,50
5/12/19,26
5/19/19,52
5/26/19,52
6/2/19,25
6/9/19,37
6/16/19,50
6/23/19,38
6/30/19,24
7/7/19,59
7/14/19,100
7/21/19,51
7/28/19,25
8/4/19,0
8/11/19,0
8/18/19,25
8/25/19,23
9/1/19,23
9/8/19,47
9/15/19,0
9/22/19,22
9/29/19,58
10/6/19,23
10/13/19,35
10/20/19,23
10/27/19,0
11/3/19,34